종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"010060","OCI","KOSPI",,,"032001","기초 화학물질 제조업","12",,"23849371","5000","127246855000","원(KRW)","백우석, 이우현, 김택중(3인, 각자 대표이사)","02-727-9500","서울특별시 중구  소공로 94 OCI 빌딩"
"100840","S&TC","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"7506711","500","3753355500","원(KRW)","신경인","055-212-6500","경상남도 창원시 성산구  완암로 12 "
"064960","S&T모티브","KOSPI",,,"033003","자동차 신품 부품 제조업","12",,"14623136","5000","73115680000","원(KRW)","김형철","051-509-2114","부산광역시 기장군  철마면 여락송정로 363 "
"003570","S&T중공업","KOSPI",,,"033003","자동차 신품 부품 제조업","12",,"33252697","2500","85631742500","원(KRW)","권정원","055-280-5000","경상남도 창원시 성산구  남면로 599 "
"036530","S&T홀딩스","KOSPI",,,"116409","기타 금융업","12",,"16303886","500","8351943000","원(KRW)","김도환","02-3279-5010","서울특별시 금천구  가산디지털1로 134 "
"010950","S-Oil","KOSPI",,,"031902","석유 정제품 제조업","12",,"112582792","2500","291511797500","원(KRW)","Hussain A.Al-Qahtani","02-3772-5151","서울특별시 마포구  백범로 192 "
"034120","SBS","KOSPI",,,"106002","텔레비전 방송업","12",,"18252582","5000","91262910000","원(KRW)","박정훈(단독대표)","02-2061-0006","서울특별시 양천구  목동서로 161 "
"101060","SBS미디어홀딩스","KOSPI",,,"106002","텔레비전 방송업","12",,"139896190","500","69948095000","원(KRW)","신경렬","02-2113-5599","서울특별시 양천구  목동서로 161 "
"005090","SGC에너지","KOSPI",,,"043501","전기업","12",,"14677004","5000","73385020000","원(KRW)","이복영, 박준영, 안찬규","02-489-8000","서울특별시 서초구 양재대로 246 2층,3층 한국소비자원"
"004060","SG세계물산","KOSPI",,,"074608","상품 종합 도매업","12",,"202424960","500","101212480000","원(KRW)","이의범","02-850-5191","서울특별시 금천구  디지털로10길 35 "
"001380","SG충방","KOSPI",,,"033003","자동차 신품 부품 제조업","12",,"44964143","500","22482071500","원(KRW)","이의범","070-5038-5498","충청남도 예산군 예산읍 창말로 75 (주)SG충방"
"002360","SH에너지화학","KOSPI",,,"032001","기초 화학물질 제조업","12",,"111133730","500","55566865000","원(KRW)","정케빈규봉","063-469-1500","전라북도 군산시 외항7길 20 "
"009160","SIMPAC","KOSPI",,,"032902","특수 목적용 기계 제조업","12",,"65429516","500","32714758000","원(KRW)","최진식","032-510-0044","인천광역시 부평구  부평북로 141 (주)SIMPAC"
"034730","SK","KOSPI",,,"116409","기타 금융업","12",,"70360297","200","15385286400","원(KRW)","최태원, 장동현, 박성하","02-2121-5114","서울특별시 종로구 종로 26 SK주식회사"
"011790","SKC","KOSPI",,,"032004","기타 화학제품 제조업","12",,"37868298","5000","189341490000","원(KRW)","이완재","031-250-7114","경기도 수원시 장안구 장안로309번길 84 (정자동) "
"018670","SK가스","KOSPI",,,"074607","기타 전문 도매업","12",,"9230244","5000","46151220000","원(KRW)","최창원, 윤병석","02-6200-8114","경기도 성남시 분당구 판교로 332 ECO Hub"
"001740","SK네트웍스","KOSPI",,,"074607","기타 전문 도매업","12",,"248187647","2500","620753237500","원(KRW)","최신원, 박상규 (각자 대표이사)","070-7800-2114","경기도 수원시 팔달구 매산로52번길 4 - "
"006120","SK디스커버리","KOSPI",,,"116409","기타 금융업","12",,"19037855","5000","111677150000","원(KRW)","최창원, 김철, 박찬중","02-2008-2008","경기도 성남시 분당구 판교로 332 -"
"210980","SK디앤디","KOSPI",,,"126801","부동산 임대 및 공급업","12",,"18990164","1000","18990164000","원(KRW)","함스테판윤성","02-398-4700","경기도 성남시 분당구 판교로 332 (삼평동)"
"068400","SK렌터카","KOSPI",,,"147601","운송장비 임대업","12",,"47285840","500","23642920000","원(KRW)","현몽주","1544-1600","서울특별시 구로구  서부샛길 822 "
"096770","SK이노베이션","KOSPI",,,"031902","석유 정제품 제조업","12",,"92465564","5000","468569950000","원(KRW)","김준","02-2121-5114","서울특별시 종로구  종로 26 "
"001510","SK증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"472590171","500","238251342500","원(KRW)","김 신","02-3773-8245","서울특별시 영등포구 국제금융로8길 31 여의도동 SK증권빌딩"
"285130","SK케미칼","KOSPI",,,"032002","합성고무 및 플라스틱 물질 제조업","12",,"11741396","5000","66000330000","원(KRW)","김철, 전광현","02-2008-2726","경기도 성남시 분당구 판교로 310 "
"017670","SK텔레콤","KOSPI",,,"106102","전기 통신업","12",,"80745711","500","44639473000","원(KRW)","박정호","02-6100-2114","서울특별시 중구  을지로 65 (을자로2가)"
"000660","SK하이닉스","KOSPI",,,"032601","반도체 제조업","12",,"728002365","5000","3657652050000","원(KRW)","이석희","031-630-4114","경기도 이천시  부발읍 경충대로 2091 "
"005610","SPC삼립","KOSPI",,,"031007","기타 식품 제조업","12",,"8629009","5000","43145045000","원(KRW)","황종현","02-2276-5061","경기도 시흥시 공단1대로 101 "
"011810","STX","KOSPI",,,"074608","상품 종합 도매업","12",,"19726902","2500","49317255000","원(KRW)","박상준","02-316-9600","경상남도 창원시 성산구  중앙대로 105  "
"077970","STX엔진","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"23008904","2500","57522260000","원(KRW)","송종근","-","경상남도 창원시 성산구  공단로474번길 36 "
"071970","STX중공업","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"28365976","2500","70914940000","원(KRW)","최순필","055-280-0700","경상남도 창원시 성산구  남면로 381 "
"002710","TCC스틸","KOSPI",,,"032401","1차 철강 제조업","12",,"23000000","1000","23000000000","원(KRW)","손봉락, 조석희, 손기영 (각자대표)","02-2633-3311","경상북도 포항시 남구  괴동로 100 "
"024070","WISCOM","KOSPI",,,"032202","플라스틱제품 제조업","12",,"15326438","500","7663219000","원(KRW)","구영일","031-495-1181","경기도 안산시 단원구  강촌로 237 "
"037270","YG PLUS","KOSPI",,,"106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"59496045","500","30373022500","원(KRW)","양민석","02-3140-4600","서울특별시 강남구 도산대로15길 12 -"
"000500","가온전선","KOSPI",,,"032803","절연선 및 케이블 제조업","12",,"4160347","5000","20801735000","원(KRW)","윤재인","031-8068-3928","경기도 군포시  엘에스로45번길 120 "
"000860","강남제비스코","KOSPI",,,"032004","기타 화학제품 제조업","12",,"6500000","1000","6500000000","원(KRW)","황익준,김재현(각자대표이사)","051-892-4221","부산광역시 부산진구  냉정로 289 (가야동)"
"035250","강원랜드","KOSPI",,,"189102","유원지 및 기타 오락관련 서비스업","12",,"213940500","500","106970250000","원(KRW)","문태곤","033-590-7700","강원도 정선군 사북읍 하이원길 265 강원랜드"
"011420","갤럭시아에스엠","KOSPI",,,"189101","스포츠 서비스업","12",,"27549644","500","13774822000","원(KRW)","이반석","02-775-1300","서울특별시 강남구  학동로 311 미성빌딩 7층  "
"002100","경농","KOSPI",,,"032003","비료, 농약 및 살균, 살충제 제조업","12",,"21691750","500","10845875000","원(KRW)","이병만","02-3488-5800","서울특별시 서초구 강남대로39길 15-10한라비발디스튜디오193 "
"009450","경동나비엔","KOSPI",,,"032805","가정용 기기 제조업","12",,"13604730","1000","13604730000","원(KRW)","손연호","031-8060-5500","경기도 평택시 서탄면 수월암길 95 -"
"267290","경동도시가스","KOSPI",,,"043502","연료용 가스 제조 및 배관공급업","12",,"5895406","2500","14738515000","원(KRW)","송재호, 나윤호","052-219-5300","울산광역시 북구 염포로 260-10(진장동) 주식회사 경동도시가스 "
"012320","경동인베스트","KOSPI",,,"116409","기타 금융업","12",,"2365023","5000","11825115000","원(KRW)","조진수","031-738-5557","경기도 성남시 분당구 수내로46번길 4 경동빌딩 -"
"000050","경방","KOSPI",,,"074701","종합 소매업","12",,"27415270","500","13707635000","원(KRW)","김준, 김담","02-2638-6000","서울특별시 영등포구 영중로 15 (영등포동 4가) "
"214390","경보제약","KOSPI",,,"032101","기초 의약물질 및 생물학적 제제 제조업","12",,"23906860","500","11953430000","원(KRW)","김태영","02-2175-2315","충청남도 아산시 실옥로 174 "
"012610","경인양행","KOSPI",,,"032001","기초 화학물질 제조업","12",,"41276365","500","20638182500","원(KRW)","김흥준,조성용 (각자대표이사)","032-571-7498","인천광역시 서구  건지로 199 (석남동) 223-52"
"009140","경인전자","KOSPI",,,"032602","전자부품 제조업","12",,"1570797","5000","7853985000","원(KRW)","김성은","02-2113-2000","서울특별시 금천구  가산디지털2로 184 1411호(가산동,벽산/경인디지털밸리2)"
"013580","계룡건설산업","KOSPI",,,"064102","토목 건설업","12",,"8930907","5000","44654535000","원(KRW)","한승구, 이승찬","042-480-7114-5","대전광역시 서구 문정로48번길 48 -"
"012200","계양전기","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"32600000","500","17000000000","원(KRW)","정한수","02-559-6800","서울특별시 강남구 테헤란로 508 (대치동)해성2빌딩 2층"
"002140","고려산업","KOSPI",,,"031006","곡물가공품, 전분 및 전분제품 제조업","12",,"24939425","1000","24939425000","원(KRW)","전장열, 김영교(각자 대표이사)","051-600-5069","부산광역시 사상구 새벽시장로 21(감전동) "
"010130","고려아연","KOSPI",,,"032402","1차 비철금속 제조업","12",,"18870000","5000","94350000000","원(KRW)","최창근, 이제중, 최윤범","02-519-3416","서울특별시 강남구  강남대로 542 영풍빌딩 "
"002240","고려제강","KOSPI",,,"032401","1차 철강 제조업","12",,"20000000","1000","20000000000","원(KRW)","이이문, 주종대 (각자대표)","051-760-1700","부산광역시 수영구 구락로 150 "
"009290","광동제약","KOSPI",,,"032102","의약품 제조업","12",,"52420851","1000","52420851000","원(KRW)","최성원","02-6006-7777","서울특별시 서초구  서초중앙로 85 가산빌딩 "
"017040","광명전기","KOSPI",,,"032801","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","12",,"43337615","500","21668807500","원(KRW)","이재광,조광식","031-494-0720","경기도 안산시 단원구  목내로 160 (목내동) "
"017900","광전자","KOSPI",,,"032601","반도체 제조업","12",,"57943763","500","28971881500","원(KRW)","이석렬","063-839-1111","전라북도 익산시 약촌로8길 62-8 (어양동)"
"037710","광주신세계","KOSPI",,,"074701","종합 소매업","12",,"1600000","5000","8000000000","원(KRW)","이동훈","062-360-1234","광주광역시 서구  무진대로 932 (주)광주신세계"
"030610","교보증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"64653296","5000","323266480000","원(KRW)","김해준, 박봉권 (각자대표)","02-3771-9000","서울특별시 영등포구 의사당대로 97 교보증권빌딩 "
"339770","교촌에프앤비","KOSPI",,,"074603","음·식료품 및 담배 도매업","12",,"24982540","500","12579150000","원(KRW)","소진세","054-971-9995","경상북도 칠곡군 가산면 송신로 78 "
"007690","국도화학","KOSPI",,,"032001","기초 화학물질 제조업","12",,"5810616","5000","29053080000","원(KRW)","이삼열, 이시창","02-3282-1400","서울특별시 금천구  가산디지털2로 61 "
"005320","국동","KOSPI",,,"074604","생활용품 도매업","12",,"38845864","500","19422932000","원(KRW)","변상기, 오창규","02-3407-7710","서울특별시 동대문구 천호대로 405 5,8층(장안동, 동보빌딩)"
"001140","국보","KOSPI",,,"084903","도로 화물 운송업","12",,"49376445","500","24688222500","원(KRW)","하현","02-765-5544","부산광역시 수영구 광남로 42 8층(남천동, 국보빌딩)"
"002720","국제약품","KOSPI",,,"032102","의약품 제조업","12",,"18400520","1000","18400520000","원(KRW)","남영우,남태훈,안재만","031-781-9081","경기도 성남시 분당구  야탑로 96-8 "
"083420","그린케미칼","KOSPI",,,"032004","기타 화학제품 제조업","12",,"24000000","500","12000000000","원(KRW)","양준화","041-661-5000","충남 서산시 대산읍 독곳리 411-13"
"014530","극동유화","KOSPI",,,"031902","석유 정제품 제조업","12",,"34869420","500","17434710000","원(KRW)","장홍선, 장선우 (각자대표)","055-370-9900","경상남도 양산시  어실로 101 "
"014280","금강공업","KOSPI",,,"032401","1차 철강 제조업","12",,"29021513","1000","29611388000","원(KRW)","전장열, 이범호 (각자 대표이사)","051-264-8881","부산광역시 사하구  다산로 110 "
"008870","금비","KOSPI",,,"032301","유리 및 유리제품 제조업","09",,"1000000","5000","5000000000","원(KRW)","고기영","031-632-5280","경기도 이천시 부발읍 중부대로1707번길 13 "
"001570","금양","KOSPI",,,"032001","기초 화학물질 제조업","12",,"44048135","500","22024067500","원(KRW)","류광지","051-316-5881","부산광역시 사상구  낙동대로960번길 81 (감전동) (주)금양"
"002990","금호산업","KOSPI",,,"064101","건물 건설업","12",,"36633924","5000","184630950000","원(KRW)","서재환","02-6303-0114","전라남도 나주시 시청길 4 "
"011780","금호석유화학","KOSPI",,,"032001","기초 화학물질 제조업","12",,"30467691","5000","167455885000","원(KRW)","박찬구, 문동준","02-6961-1114","서울특별시 중구 청계천로 100
(수표동, 시그니쳐타워) "
"214330","금호에이치티","KOSPI",,,"033003","자동차 신품 부품 제조업","12",,"117904727","500","58952363500","원(KRW)","김진곤, 김두인(각자대표)","062-958-2700","광주광역시 광산구 용아로 717 "
"001210","금호전기","KOSPI",,,"032804","전구 및 조명장치 제조업","12",,"11981820","500","5990910000","원(KRW)","이홍민","02-707-4000","서울특별시 영등포구 국제금융로 10 쓰리아이에프씨동 14층"
"073240","금호타이어","KOSPI",,,"032201","고무제품 제조업","12",,"287260287","5000","1436301435000","원(KRW)","전대진","02-6303-8114","광주광역시 광산구  어등대로 658 "
