종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"045890","GV","KOSDAQ","투자주의환기종목(소속부없음)",,"032804","전구 및 조명장치 제조업","12",,"75067352","500","37533676000","원(KRW)","김철현","032-670-3000","경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주)"
"078150","HB테크놀러지","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"78990426","500","39495213000","원(KRW)","문성준","031-332-0060","충청남도 아산시 음봉면 산동로 87 "
"036640","HRS","KOSDAQ","중견기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"16354800","500","8177400000","원(KRW)","김진성","02  -780 -6156","경기도 평택시  팽성읍 추팔산단2길 7 "
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3120000","100","312000000","원(KRW)","이준규","02-6915-5573","서울특별시 영등포구 국제금융로6길 11 &nbsp"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5170000","100","517000000","원(KRW)","고병철","02-6915-5361","서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) "
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"4330000","100","433000000","원(KRW)","이동헌","02-6915-5797","서울특별시 영등포구 국제금융로6길 11 "
"095340","ISC","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"14142508","500","7071254000","원(KRW)","정영배, 박석순(각자 대표이사)","031-777-7675","경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)"
"099520","ITX-AI","KOSDAQ","벤처기업부",,"032605","영상 및 음향기기 제조업","12",,"29301683","500","14650841500","원(KRW)","박상열, 유건상 (각자 대표이사)","02-2082-8379","서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호"
"950170","JTC","KOSDAQ","외국기업(소속부없음)",,"074701","종합 소매업","02",,"35005517","무액면","0","일본엔(JPY)","구철모","02-785-9101","6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan "
"067290","JW신약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"43936858","500","21968429000","원(KRW)","백승호","02-840-6111","서울특별시 서초구 남부순환로 2477 "
"035900","JYP Ent.","KOSDAQ","우량기업부",,"105902","오디오물 출판 및 원판 녹음업","12",,"35497492","500","17943451500","원(KRW)","정욱","02-2225-8100","서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
"024840","KBI메탈","KOSDAQ","우량기업부",,"032402","1차 비철금속 제조업","12",,"32950848","500","16475424000","원(KRW)","박한상","053 -615 -1161","대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장"
"024120","KB오토시스","KOSDAQ","우량기업부",,"033003","자동차 신품 부품 제조업","12",,"11500000","500","5750000000","원(KRW)","김신완","041-537-5345","충청남도 아산시  음봉면 아산온천로 528-24 "
"021320","KCC건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"21400000","5000","107000000000","원(KRW)","정몽열,윤희영","02-513-5500","서울특별시 서초구  강남대로 587 KCC 건설 "
"036670","KCI","KOSDAQ","우량기업부",,"032004","기타 화학제품 제조업","12",,"11270000","500","5635000000","원(KRW)","이진용","031 -497 -6411","충남 서산시 대산읍 대죽리 13-7 "
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)",,"064101","건물 건설업","12",,"16525360","500","8262680000","원(KRW)","안태일","070-5138-4366","경기도 안산시 단원구 광덕서로 102 406-3호"
"151860","KG ETS","KOSDAQ","우량기업부",,"053802","폐기물 처리업","12",,"36000000","500","20051860000","원(KRW)","엄기민","031-488-1122","경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)"
"046440","KG모빌리언스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"38825568","500","19412784000","원(KRW)","곽재선","(02)2192-2000","서울특별시 중구 통일로 92 케이지타워 16층"
"035600","KG이니시스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904434","500","13952217000","원(KRW)","유승용","(02)3430-5913","서울특별시 중구 통일로 92 케이지타워 14,15층"
"060720","KH바텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"23673903","500","11836951500","원(KRW)","남광희","054-465-0630","경상북도 구미시  1공단로10길 53-12 (주)KH바텍 "
"122450","KMH","KOSDAQ","중견기업부",,"106002","텔레비전 방송업","12",,"22667982","500","11434247500","원(KRW)","한찬수, 이강봉(각자 대표이사)","02-2647-1255","서울특별시 양천구  목동서로 201 KT정보전산센터 7층"
"052900","KMH하이텍","KOSDAQ","중견기업부",,"032202","플라스틱제품 제조업","12",,"46885499","500","23442749500","원(KRW)","이상국","(041)539-6114","충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 "
"058400","KNN","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"132429720","500","66214860000","원(KRW)","김병근","051-850-9214","부산광역시 해운대구  센텀서로 30 케이엔엔타워 "
"114450","KPX생명과학","KOSDAQ","중견기업부",,"032101","기초 의약물질 및 생물학적 제제 제조업","12",,"15000000","500","7500000000","원(KRW)","양준영, 이기성(각자 대표이사)","061-688-4600","전라남도 여수시 여수산단2로 84 "
"036030","KTH","KOSDAQ","중견기업부",,"074601","상품 중개업","12",,"35715022","1000","35715022000","원(KRW)","이필재","02-1588-5668","서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 "
"060370","KT서브마린","KOSDAQ","중견기업부",,"064203","전기 및 통신 공사업","12",,"21900000","1000","21900000000","원(KRW)","김형준","(051)704-0004","부산광역시 해운대구 송정광어골로 42  "
"065150","MP그룹","KOSDAQ","투자주의환기종목(소속부없음)",,"074603","음·식료품 및 담배 도매업","12",,"124435974","100","12443597400","원(KRW)","양희권","02-596-3300","서울특별시 서초구  효령로 132 미피하우스"
"219550","MP한강","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"64596999","100","6459699900","원(KRW)","이진승","02-3773-8373","서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호"
"160550","NEW","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"27906106","500","13953053000","원(KRW)","김우택","02-3490-9300","서울특별시 강남구 학동로9길 5 - "
"053290","NE능률","KOSDAQ","벤처기업부",,"105801","서적, 잡지 및 기타 인쇄물 출판업","12",,"16526307","500","8263153500","원(KRW)","주민홍","02-2014-7114","서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 "
"104200","NHN벅스","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"14827550","500","7413775000","원(KRW)","양주일","031-8038-4186","경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"22971393","500","11485696500","원(KRW)","박준석","(02)2108-1000","서울특별시 구로구 디지털로26길 72 - "
"030190","NICE평가정보","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"60714820","500","30357410000","원(KRW)","신희부","02-2122-4000","서울특별시 영등포구 은행로 17 NICE 그룹1사옥 "
"078590","OQP","KOSDAQ","관리종목(소속부없음)",,"033003","자동차 신품 부품 제조업","12",,"78724637","200","15744927400","원(KRW)","이창현 단독대표이사","02-6925-2168","경남 밀양시 산내면 가인리 364번지 "
"178920","PI첨단소재","KOSDAQ","우량기업부",,"032202","플라스틱제품 제조업","12",,"29366322","500","14683161000","원(KRW)","김태림","031-436-8600","충청북도 진천군 이월면 고등1길 27 "
"024940","PN풍년","KOSDAQ","벤처기업부",,"032509","기타 금속 가공제품 제조업","12",,"10000000","500","5000000000","원(KRW)","유재원","02-2008-1030","경기도 안산시 단원구 별망로 620 "
"218410","RFHIC","KOSDAQ","우량기업부",,"032604","통신 및 방송 장비 제조업","12",,"23847620","500","11923810000","원(KRW)","조덕수","031-8069-3016","경기도 안양시 동안구 부림로 170 41-14(관양동)"
"091340","S&K폴리텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"11703721","500","5851860500","원(KRW)","강원형","031-432-8061","경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부",,"116402","신탁업 및 집합투자업","12",,"162066575","500","83533287500","원(KRW)","공동대표이사 이준효
공동대표이사 소우에이이치로","02-2139-9200","서울특별시 강남구 테헤란로 509엔씨타워1 14층 "
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)",,"105802","소프트웨어 개발 및 공급업","03",,"24048040","무액면","0","일본엔(JPY)","카네코 유이치","81-3-3498-5011","일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 "
"046140","SBS콘텐츠허브","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"21463555","500","10731777500","원(KRW)","김휘진","02-2001-0631","서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 "
"036120","SCI평가정보","KOSDAQ","중견기업부",,"106309","기타 정보 서비스업","12",,"35500000","500","17750000000","원(KRW)","강욱성","02  -3445-5000","서울특별시 마포구  토정로 144 건양사빌딩 "
"099220","SDN","KOSDAQ","중견기업부",,"074605","기계장비 및 관련 물품 도매업","12",,"48178714","500","24089357000","원(KRW)","최기혁","02-446-6691","경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  "
"036540","SFA반도체","KOSDAQ","우량기업부",,"032601","반도체 제조업","12",,"164460303","500","82487451500","원(KRW)","김영민","041 -529 -0708","충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) "
"255220","SG","KOSDAQ","우량기업부",,"032309","기타 비금속 광물제품 제조업","12",,"36720027","100","3672002700","원(KRW)","박창호","032-574-6525","인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp"
"040610","SG&G","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"34087196","500","17043598000","원(KRW)","이 의 범","02-2105-6315","경기도 안산시 단원구 원시로 239-10 (원시동)"
"049470","SGA","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"48812249","1000","48812249000","원(KRW)","은유진","070-7308-9319","서울특별시 송파구 정의로8길 4 케이디70, 1004호 "
"184230","SGA솔루션즈","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"36676033","100","3667603300","원(KRW)","최영철","02-574-6856","서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비즈니스파크) "
"016250","SGC이테크건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"1581383","5000","7906915000","원(KRW)","이복영, 안찬규","02-489-9000","서울특별시 서초구 양재대로 246(염곡동) "
"307070","SK4호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5160000","100","516000000","원(KRW)","박신규","02-3773-9151","서울특별시 영등포구 국제금융로8길 31 4층 &nbsp"
"337450","SK5호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4310000","100","431000000","원(KRW)","우종민","02-3773-8227","서울특별시 영등포구 국제금융로8길 31, 4층 "
"340350","SK6호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5710000","100","571000000","원(KRW)","송문규","02-3773-9131","서울특별시 영등포구 국제금융로8길 31, 4층 "
"036490","SK머티리얼즈","KOSDAQ","우량기업부",,"032001","기초 화학물질 제조업","12",,"10547673","500","5273836500","원(KRW)","이용욱","054-630-8114","경상북도 영주시  가흥공단로 59-33 "
"048550","SM C&C","KOSDAQ","중견기업부",,"137103","광고업","12",,"94610120","500","47305060000","원(KRW)","김동준, 남궁철","02-3788-0000","서울특별시 강남구 삼성로 648한섬빌딩 "
"063440","SM Life Design","KOSDAQ","중견기업부",,"031802","기록매체 복제업","12",,"45129154","500","22924577000","원(KRW)","신숭복","031-955-7171","경기도 파주시 직지길 376 "
"950180","SNK","KOSDAQ","외국기업(소속부없음)",,"105802","소프트웨어 개발 및 공급업","07",,"21061800","무액면","0","일본엔(JPY)","갈지휘","+81-06-6339-6362","1-16-17, Esakacho, Suitasi, Osaka, Japan "
"289080","SV인베스트먼트","KOSDAQ","벤처기업부",,"116409","기타 금융업","03",,"53234000","500","26617000000","원(KRW)","박성호, 홍원호","02-3775-1020","서울특별시 영등포구 국제금융로 10 46층 (여의도동, 쓰리아이에프씨)"
"089230","THE E&M","KOSDAQ","중견기업부",,"106309","기타 정보 서비스업","12",,"160411688","100","16041168800","원(KRW)","신환률, 김대권(각자대표)","02-2088-8222","서울특별시 강남구 논현로 842 압구정빌딩 8층(신사동) "
"161570","THE MIDONG","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"13791786","500","6895893000","원(KRW)","후성양(HU SHENGYANG)","070-7425-0614","서울특별시 서초구 남부순환로 2652 대명빌딩 7층 "
"032540","TJ미디어","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"13931609","500","6965804500","원(KRW)","윤나라","02  -3663-4700","서울특별시 강서구 화곡로64길 23 "
"048770","TPC","KOSDAQ","중견기업부",,"032901","일반 목적용 기계 제조업","12",,"13480276","500","6740138000","원(KRW)","엄주섭, 엄재윤","032 -572 -1700","인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 "
"246690","TS인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"24324534","500","12162267000","원(KRW)","김웅","02-6250-5700","서울특별시 강남구 선릉로 531, 3층 302호 "
"317240","TS트릴리온","KOSDAQ","벤처기업부",,"032004","기타 화학제품 제조업","12",,"50454511","100","5045451100","원(KRW)","장기영","02-2122-9226","서울특별시 영등포구 양평로 96 1층,6층,8층(양평동4가,티에스빌딩)"
"038340","UCI","KOSDAQ","관리종목(소속부없음)",,"168505","일반 교습 학원","12",,"37397367","500","18748683500","원(KRW)","김병양","(02)3438-6900","서울특별시 구로구 디지털로33길 48 604호(구로동, 대륭포스트타워7차)"
"073570","WI","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"75840849","100","7584084900","원(KRW)","변익성(단독대표)","041-582-5700","충청남도 천안시 서북구 직산읍 4산단7로 17-15 -"
"052300","W홀딩컴퍼니","KOSDAQ","중견기업부",,"085209","기타 운송관련 서비스업","12",,"232418093","100","23241809300","원(KRW)","최진욱","02-6237-9784","서울특별시 강남구 도산대로 414 14층(청담동, 한성청담빌딩) "
"057030","YBM넷","KOSDAQ","중견기업부",,"168507","교육지원 서비스업","12",,"16312697","500","8156348500","원(KRW)","오재환","(02) 2008-5200","경기도 성남시 분당구 대왕판교로 670 유스페이스2 A동 8,9층 "
"040300","YTN","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"42000000","1000","42000000000","원(KRW)","정찬형","(02) 398-8000","서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 "
"051390","YW","KOSDAQ","중견기업부",,"074608","상품 종합 도매업","12",,"11355368","500","5677684000","원(KRW)","우병일","(031)703-7118","경기도 성남시 분당구  야탑남로 280 801(야탑동,분당테크노파크씨동)"
"052220","iMBC","KOSDAQ","중견기업부",,"106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"23000000","500","11500000000","원(KRW)","박태경","(02)2105-1100","서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터) "
"079940","가비아","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"13535684","500","6767842000","원(KRW)","김홍국","1544-4370","경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호"
"078890","가온미디어","KOSDAQ","우량기업부",,"032604","통신 및 방송 장비 제조업","12",,"15074293","500","7537146500","원(KRW)","임화섭","031-724-8500","경기도 성남시 분당구  성남대로 884-3 "
"192410","감마누","KOSDAQ","중견기업부",,"032604","통신 및 방송 장비 제조업","12",,"26903874","500","13451937000","원(KRW)","김상기, 위청드어 공동 대표이사","031-831-8800","경기도 화성시 삼성1로 150 208호(석우동) "
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"24836666","500","12418333000","원(KRW)","이태화","02-888-1590","서울특별시 강남구 테헤란로 512 신안빌딩 17층"
"114190","강원","KOSDAQ","관리종목(소속부없음)",,"032501","구조용 금속제품, 탱크 및 증기발생기 제조업","12",,"18154911","500","9077455500","원(KRW)","이인환","031-358-7683","전라북도 군산시 자유무역1길 60 웰크론강원 510-9, 510-10, 510-12"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"39229838","500","19614919000","원(KRW)","김용광","02-3484-8400","서울시 강남구 수서동 715번지 수서오피스 빌딩 12층 "
"063080","게임빌","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"6595192","500","3297596000","원(KRW)","송병준","02-876-5252","서울특별시 금천구 가산디지털1로 131 에이동 (가산동) "
"044480","경남바이오파마","KOSDAQ","관리종목(소속부없음)",,"032201","고무제품 제조업","12",,"20127806","500","10063903000","원(KRW)","홍상혁","02-2203-3835","충청북도 증평군  증평읍 광장로 473-3 (주)유니더스"
"039240","경남스틸","KOSDAQ","우량기업부",,"032401","1차 철강 제조업","12",,"25000000","100","2500000000","원(KRW)","최석우","055 -252 -9208","경남 창원시 웅남동 61-46번지 "
"053950","경남제약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"17442567","500","8721283500","원(KRW)","배건우","02-3490-5105","경상남도 의령군 동동리 1539-5 "
"223310","경남제약헬스케어","KOSDAQ","관리종목(소속부없음)",,"105802","소프트웨어 개발 및 공급업","12",,"11396461","100","1139646100","원(KRW)","조헌정","070-7860-9660","서울특별시 강남구 언주로 702 경남제약타워 10층"
"011040","경동제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"30768766","500","15684383000","원(KRW)","류덕희, 류기성","02  -576 -6121","경기도 화성시  양감면 제약단지로 224-3 "
"024910","경창산업","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"35819005","500","17909502500","원(KRW)","손일호,이동현","053 -560 -0141","대구광역시 달서구 성서로35길 6 월암동"
"198440","고려시멘트","KOSDAQ","우량기업부",,"032303","시멘트, 석회, 플라스터 및 그 제품 제조업","12",,"31979960","100","3197996000","원(KRW)","이국노","061-390-6575","전라남도 장성군 장성읍 영천로 35 고려시멘트"
"049720","고려신용정보","KOSDAQ","중견기업부",,"147509","기타 사업지원 서비스업","12",,"14300000","500","7150000000","원(KRW)","윤태훈","02-3450-9000","서울특별시 서초구 서초대로 353 (서초동, 유니온타워)"
"014570","고려제약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"11000000","500","5500000000","원(KRW)","박해룡, 박상훈 (각자대표)","02-529-6100","경기도 이천시  신둔면 원적로 69-10 "
"348150","고바이오랩","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"15518506","500","7759253000","원(KRW)","고광표, 박철원","02-888-9964","서울특별시 관악구 관악로 1, 220동 628호(신림동, 서울대학교 종합연구동) &nbsp"
"098460","고영","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"13730951","500","6865475500","원(KRW)","고광일","02-6343-6000","서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리 14층, 15층)"
"038530","골드퍼시픽","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"66197245","500","33098622500","원(KRW)","조정영","02-2029-0700","서울특별시 구로구 디지털로30길 28 7층, 702호(구로동, 마리오타워)"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)",,"116409","기타 금융업","12",,"158780000","0.2","31756000","미국달러(USD)","주승화","02-780-8863","P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman, KY1 - 1205 Cayman Islands -"
"215000","골프존","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"6275415","500","3137707500","원(KRW)","최덕형, 박강수","1577-4333","서울특별시 강남구 영동대로 735 - "
"121440","골프존뉴딘홀딩스","KOSDAQ","중견기업부",,"074601","상품 중개업","12",,"42836818","500","21418409000","원(KRW)","최덕형","042-862-8109","서울특별시 강남구 영동대로 735- "
"014200","광림","KOSDAQ","중견기업부",,"033001","자동차용 엔진 및 자동차 제조업","12",,"52922234","500","26461117000","원(KRW)","방용철","043 -260 -9111","충청북도 청원군  현도면 청남로 484 (주)광림 "
"026910","광진실업","KOSDAQ","중견기업부",,"032401","1차 철강 제조업","12",,"6405405","500","3202702500","원(KRW)","허유석, 허정도","051 -204 -9101","부산 사하구 신평동 370-103 "
"090150","광진윈텍","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"9658393","500","4829196500","원(KRW)","신규진","051-711-2222","부산광역시 기장군  장안읍 장안산단9로 110 "
"355150","교보10호기업인수목적","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"5320000","100","532000000","원(KRW)","박상연","02-3771-9125","서울특별시 영등포구 의사당대로 97 교보증권 빌딩 17층"
"307280","교보8호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3720000","100","372000000","원(KRW)","조윤상","02-3771-9284","서울특별시 영등포구 의사당대로 97 &nbsp"
"331520","교보9호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3880000","100","388000000","원(KRW)","양규응","02-3771-9284","서울특별시 영등포구 의사당대로 97 "
"053270","구영테크","KOSDAQ","우량기업부",,"033003","자동차 신품 부품 제조업","12",,"26394174","500","13197087000","원(KRW)","이희화","053-592-6111","대구광역시 달성군 구지면 국가산단대로39길 119 (창리)"
"066620","국보디자인","KOSDAQ","우량기업부",,"064204","실내건축 및 건축마무리 공사업","12",,"7500000","500","3750000000","원(KRW)","황창연","(02)738-2700","서울 마포구 서교동 477-22 "
"043650","국순당","KOSDAQ","관리종목(소속부없음)",,"031101","알코올음료 제조업","12",,"17858304","500","8929152000","원(KRW)","배상민","02  -5138-500","강원도 횡성군 둔내면 강변로 975 "
"006050","국영지앤엠","KOSDAQ","중견기업부",,"032301","유리 및 유리제품 제조업","12",,"34895243","500","17447621500","원(KRW)","최재원","02-2015-0370","서울시 서초구 서초중앙로 36 (서초동, 준영빌딩 7층) "
"060480","국일신동","KOSDAQ","중견기업부",,"032402","1차 비철금속 제조업","12",,"11090000","500","5545000000","원(KRW)","김연경,손인국 (각자대표)","031-499-9192","경기도 안산시 단원구 번영2로 58 &nbsp"
"078130","국일제지","KOSDAQ","중견기업부",,"031709","기타 종이 및 판지 제품 제조업","12",,"126348384","100","12634838400","원(KRW)","최부도, 최우식(각자대표)","(031)339-9100","경기도 용인시 처인구  이동면 백옥대로 563 "
